Date,Time,Close
17/05/2021,9:45:00 AM,4151.75
17/05/2021,10:00:00 AM,4148.5
17/05/2021,10:15:00 AM,4145
17/05/2021,10:30:00 AM,4147.25
17/05/2021,10:45:00 AM,4144.5
17/05/2021,11:00:00 AM,4144.5
17/05/2021,11:15:00 AM,4150
17/05/2021,11:30:00 AM,4153
17/05/2021,11:45:00 AM,4147.75
17/05/2021,12:00:00 PM,4145.75
17/05/2021,12:15:00 PM,4143.25
17/05/2021,12:30:00 PM,4140.25
17/05/2021,12:45:00 PM,4143.25
17/05/2021,1:00:00 PM,4146.25
17/05/2021,1:15:00 PM,4148.5
17/05/2021,1:30:00 PM,4146.5
17/05/2021,1:45:00 PM,4154.75
17/05/2021,2:00:00 PM,4157.75
17/05/2021,2:15:00 PM,4152.75
17/05/2021,2:30:00 PM,4155.75
17/05/2021,2:45:00 PM,4158.5
17/05/2021,3:00:00 PM,4159.75
17/05/2021,3:30:00 PM,4160
17/05/2021,3:45:00 PM,4160.5
18/05/2021,9:30:00 AM,4156.25
18/05/2021,9:45:00 AM,4160
18/05/2021,10:00:00 AM,4158.75
18/05/2021,10:15:00 AM,4158.25
18/05/2021,10:30:00 AM,4154
18/05/2021,10:45:00 AM,4151.75
18/05/2021,11:00:00 AM,4154.25
18/05/2021,11:15:00 AM,4156.75
18/05/2021,11:30:00 AM,4157.25
18/05/2021,11:45:00 AM,4155.5
18/05/2021,12:00:00 PM,4154.5
18/05/2021,12:15:00 PM,4158.25
18/05/2021,12:30:00 PM,4155.5
18/05/2021,12:45:00 PM,4152.5
18/05/2021,1:00:00 PM,4153
18/05/2021,1:15:00 PM,4147
18/05/2021,1:30:00 PM,4137.75
18/05/2021,1:45:00 PM,4142.75
18/05/2021,2:00:00 PM,4141.5
18/05/2021,2:15:00 PM,4145.5
18/05/2021,2:30:00 PM,4147
18/05/2021,2:45:00 PM,4123
18/05/2021,3:00:00 PM,4122.75
18/05/2021,3:30:00 PM,4115.75
18/05/2021,3:45:00 PM,4114.75
19/05/2021,9:30:00 AM,4066
19/05/2021,9:45:00 AM,4073
19/05/2021,10:00:00 AM,4080.75
19/05/2021,10:15:00 AM,4083.5
19/05/2021,10:30:00 AM,4078.25
19/05/2021,10:45:00 AM,4086
19/05/2021,11:00:00 AM,4089.25
19/05/2021,11:15:00 AM,4092
19/05/2021,11:30:00 AM,4092.25
19/05/2021,11:45:00 AM,4094.25
19/05/2021,12:00:00 PM,4103.25
19/05/2021,12:15:00 PM,4101.25
19/05/2021,12:30:00 PM,4094.75
19/05/2021,12:45:00 PM,4096.5
19/05/2021,1:00:00 PM,4085
19/05/2021,1:15:00 PM,4103.25
19/05/2021,1:30:00 PM,4086.5
19/05/2021,1:45:00 PM,4084.25
19/05/2021,2:00:00 PM,4091.25
19/05/2021,2:15:00 PM,4102.25
19/05/2021,2:30:00 PM,4094.75
19/05/2021,2:45:00 PM,4111.5
19/05/2021,3:00:00 PM,4107.25
19/05/2021,3:30:00 PM,4107
19/05/2021,3:45:00 PM,4107.75
20/05/2021,9:30:00 AM,4140
20/05/2021,9:45:00 AM,4142.25
20/05/2021,10:00:00 AM,4144.75
20/05/2021,10:15:00 AM,4151.5
20/05/2021,10:30:00 AM,4159.75
20/05/2021,10:45:00 AM,4158.5
20/05/2021,11:00:00 AM,4152.5
20/05/2021,11:15:00 AM,4149.5
20/05/2021,11:30:00 AM,4144.5
20/05/2021,11:45:00 AM,4151.25
20/05/2021,12:00:00 PM,4155.25
20/05/2021,12:15:00 PM,4157
20/05/2021,12:30:00 PM,4158
20/05/2021,12:45:00 PM,4154
20/05/2021,1:00:00 PM,4156
20/05/2021,1:15:00 PM,4158.25
20/05/2021,1:30:00 PM,4158.75
20/05/2021,1:45:00 PM,4158.5
20/05/2021,2:00:00 PM,4160.75
20/05/2021,2:15:00 PM,4169
20/05/2021,2:30:00 PM,4160.25
20/05/2021,2:45:00 PM,4155.5
20/05/2021,3:00:00 PM,4153.5
20/05/2021,3:30:00 PM,4155
20/05/2021,3:45:00 PM,4152
21/05/2021,9:30:00 AM,4168
21/05/2021,9:45:00 AM,4173.5
21/05/2021,10:00:00 AM,4173
21/05/2021,10:15:00 AM,4165.75
21/05/2021,10:30:00 AM,4167.75
21/05/2021,10:45:00 AM,4162.25
21/05/2021,11:00:00 AM,4157.25
21/05/2021,11:15:00 AM,4157.75
